Fraud,Address,Normal_Txns,Normal_Sent_txns,Normal_Received_txns,ERC20_txns,ERC20_Sent_txns,ERC20_Received_txns,Internal_Txn,Eth_Volume,Sent_Eth,Received_Eth,ERC20_Volume,Sent_ERC20,Received_ERC20,Stable_Coin_Volume,Sent_Stable_Coin,Received_Stable_Coin,First_Txn_Timestamp,Last_Txn_Timestamp,Wallet_LifeTime,Min_Time_Btw_Normal_Txns,Avg_Time_Btw_Normal_Txns,Max_Time_Btw_Normal_Txns,Min_Time_Btw_ERC20_Txns,Avg_Time_Btw_ERC20_Txns,Max_Time_Btw_ERC20_Txns,Min_Time_Btw_Txns,Avg_Time_Btw_Txns,Max_Time_Btw_Txns,Uniq_Wallet_In_Normal_Txns,Uniq_SmrtCntrs_In_Normal_Txns,Uniq_Wallet_In_ERC20_Txns,Uniq_SmrtCntrs_In_ERC20_Txns
1,0x89e7be2161fe6a06e4055ce2c6c82910ee7bb4d8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0x2a875ef76dc772078b1a42da705deec99341b5ef,205,107,98,268,94,174,1,106.10290273326763,53.47735502326763,52.62554771,226568.14054992,113284.07027496,113284.07027496,102075.895454,51037.947727,51037.947727,1573909331,1703461931,129552600000,0,631961000,21000,0,126348000,597000,0,273896000,576000,8,3,21,0
1,0x64d2d15a9f18dec738ef0a5f947a6e4b648e082b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0x02d0b53ec925f5c5907eb3dd85bededaa4362564,30,2,28,3,0,3,0,20.89763138,10.44776569,10.44986569,18.47,0,18.47,0,0,0,1533666755,1547971375,14304620000,120000,63026000,1670000,118855000,2871218000,0,120000,433473000,1670000,27,0,3,0
1,0xa2e5ac16f76f7a151cf38e65469983e4abbefb9c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0xf23f9dda63ed0628609272dc0544c7a2f7189f51,17,1,16,6,0,6,0,37.810046436,18.904372218,18.905674218,2515.1126072868833,0,2515.1126072868833,0,0,0,1520002335,1539360406,19358071000,13000,1087330000,1541000,190621000,2355586000,3761459000,13000,841655000,1541000,15,0,2,2
1,0x6b92ab6d455d06b022bf5003922cdd8b07172586,8,3,5,0,0,0,2,3013.263926472094,1569.9027770120945,1443.36114946,0,0,0,0,0,0,1474466148,1476796893,2330745000,114000,291343000,27117000,0,0,0,114000,291343000,27117000,6,1,0,0
1,0x84d3656163005ecdec0339b502068fc8e520feb1,18,18,0,0,0,0,2,7.560071,7.560071,0,0,0,0,0,0,0,1664381687,1664560931,179244000,24000,9958000,108000,0,0,0,24000,9958000,108000,0,10,0,0
1,0x497e4c58a4106fee817e3bece3c5c029e964eb49,7,3,4,4,0,4,0,4.8048432000000005,2.397417,2.4074262,5.348,0,5.348,0,0,0,1525581239,1557730233,32148994000,168000,75328000,381000,1417000,2443744000,9771480000,168000,2922636000,381000,4,0,3,0
1,0x4902c6f5fa1a80a2a85baffeb65ee77e3144c6da,0,0,0,1,0,1,0,0,0,0,1.337,0,1.337,0,0,0,1547966568,1547966568,0,0,0,0,0,0,0,0,0,0,0,0,0,1
